freq,ceparema,env_econ,nace_r2,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,RS,,,,,,,,,1.1,0.2,0.0,0.6,0.0,0.0,0.0,0.6,2.0,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,SE,,,,,,,,,,,,,0.4,1.3,,45.5,,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,SI,,,,,,,,,0.5,0.4,1.0,0.3,0.4,0.2,0.5,0.9,1.4,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,AT,,,,,,,,,,,,,3.9,3.4,3.6,12.9,13.6,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,BA,,,,,,,,,,,,,,,,,0.3,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,BE,,,,,,,,,1.9,1.9,2.1,2.3,2.3,2.5,2.4,2.5,2.8,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,BG,,,,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,CH,,,,,,,,,,,18.2,,10.3,,17.9,18.1,18.3,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,DE,,,,,,,,,,,,,27.6,31.3,49.1,47.9,89.5,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,EL,,,,,,,,,0.0,0.4,0.1,12.3,0.0,0.2,1.4,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,FI,,,,,,,,,,,,,,,4.0,,,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,HR,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,IE,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,IT,,,,,,,,,,,5.3,2.2,4.6,11.3,2.3,6.9,0.7,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,LT,,,,,,,,,,,,,1.4,0.6,1.4,0.3,0.4,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,LV,,,,,,,,,,,,,0.0,0.0,0.7,0.0,0.1,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,MT,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,PL,,,,,,,,,42.1,18.5,13.5,15.4,29.0,27.3,96.4,49.4,160.4,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,RO,,,,,,,,,1.8,14.1,11.8,5.6,7.1,11.3,4.0,1.9,20.7,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,RS,,,,,,,,,134.6,24.1,0.6,69.9,3.5,3.0,1.3,75.3,231.8,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,SE,,,,,,,,,,,,,4.4,13.9,,462.1,,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_NAC,SI,,,,,,,,,0.5,0.4,1.0,0.3,0.4,0.2,0.5,0.9,1.4,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,AT,,,,,,,,,,,,,2.3,2.3,1.9,4.0,9.3,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,BA,,,,,,,,,,,,,,,,,0.2,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,BE,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,BG,,,,,,,,,0.2,0.1,0.0,5.5,0.6,0.0,0.0,8.4,0.7,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,CH,,,,,,,,,,,12.8,,5.0,,5.6,5.6,6.1,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,DE,,,,,,,,,,,,,13.5,19.9,36.5,68.1,75.0,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,EL,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,FI,,,,,,,,,,,,,,,,,,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,HR,,,,,,,,,0.0,0.0,0.2,0.0,,,,,,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,IE,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,IT,,,,,,,,,,,6.1,5.5,5.5,3.2,0.6,0.8,2.6,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,LT,,,,,,,,,,,,,0.2,0.1,0.9,1.6,0.0,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,LV,,,,,,,,,,,,,5.1,1.4,4.9,1.6,5.7,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,MT,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,PL,,,,,,,,,1.9,11.5,5.9,3.1,1.0,3.0,3.8,8.0,5.5,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,RO,,,,,,,,,4.7,2.3,1.6,0.6,0.5,0.2,0.0,1.5,0.6,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,RS,,,,,,,,,0.0,0.0,0.2,0.5,0.5,0.0,0.0,0.1,0.0,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,SE,,,,,,,,,,,,,8.2,10.2,4.6,3.2,,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_EUR,SI,,,,,,,,,0.2,0.2,0.9,0.4,1.0,0.1,1.4,0.4,,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_NAC,AT,,,,,,,,,,,,,2.3,2.3,1.9,4.0,9.3,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_NAC,BA,,,,,,,,,,,,,,,,,0.4,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_NAC,BE,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_NAC,BG,,,,,,,,,0.2,0.1,0.0,5.5,0.6,0.0,0.0,8.4,0.7,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_NAC,CH,,,,,,,,,,,14.0,,5.7,,6.0,6.1,6.2,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_NAC,DE,,,,,,,,,,,,,13.5,19.9,36.5,68.1,75.0,,
A,CEPA1,EPS_INV_PP,C13-C16_C18_C31-C33,MIO_NAC,EL,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
